,parameters,training_rmse_0,training_rmse_1,training_rmse_2,training_rmse_3,training_rmse_4,valid_1_rmse_0,valid_1_rmse_1,valid_1_rmse_2,valid_1_rmse_3,valid_1_rmse_4,best_iterations_0,best_iterations_1,best_iterations_2,best_iterations_3,best_iterations_4,training_rmse_mean,valid_rmse_mean,best_iter_mean,overfit_flag
93,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 50}",1726.3572407431243,1729.4881513594837,1738.2697007225222,1724.8331750851942,1734.1112963760982,1778.2470990653699,1776.8182952129205,1795.8011952946708,1756.6126381005192,1783.3913987830658,50,50,50,50,50,1730.6119128572846,1778.1741252913093,50.0,47.56221243402479
94,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 50}",1731.5988147272997,1742.813894272911,1736.3384159435514,1736.5259420906984,1736.567467748493,1782.96019015685,1779.9442141855027,1788.9975663986886,1760.3285121011788,1780.953830748116,50,50,50,50,50,1736.7689069565909,1778.6368627180673,50.0,41.86795576147642
95,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 200}",1761.1910641602587,1759.5571099602234,1758.8389431419907,1761.7471129610465,1759.8784593373184,1790.6651600361267,1783.8511269685205,1791.8408769352757,1764.4372161751885,1789.1336615023909,200,200,200,200,200,1760.2425379121676,1783.9856083235002,200.0,23.74307041133261
96,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 100}",1760.1608751284605,1761.1616954491851,1756.9364402107956,1766.5312792022376,1762.188136438628,1789.6067838080774,1784.7968153357194,1791.250556244239,1769.2621403146777,1792.3773671161316,100,100,100,100,100,1761.3956852858614,1785.458732563769,100.0,24.06304727790757
97,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 200}",1764.3610485615218,1759.5158735145226,1758.4369941654259,1766.0230237883834,1759.1168610321936,1793.9907081752174,1784.8087291587576,1792.0562743673115,1768.9021691498683,1788.730677566046,200,200,200,200,200,1761.4907602124094,1785.69771168344,200.0,24.206951471030607
98,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 100}",1762.2214399144477,1761.3413082953853,1760.9079944993564,1764.5412107430334,1759.9608737222354,1791.007283129708,1785.1855011409589,1795.3032358294113,1768.4076184451844,1790.370991019859,100,100,100,100,100,1761.7945654348914,1786.0549259130244,100.0,24.260360478132952
99,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 50}",1770.625026770262,1768.324808881008,1760.5481498928505,1766.4764628892933,1768.5751035726737,1804.550012176442,1792.0075247215077,1793.8425498126712,1769.645076648358,1798.0953866145474,50,50,50,50,50,1766.9099104012178,1791.6281099947053,50.0,24.718199593487498
100,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 100}",1772.1283394431757,1772.8647427087847,1770.165212032567,1777.4534999379678,1772.671588964798,1797.5431212455956,1791.3747665294554,1799.3819610113085,1770.0235050469023,1800.6126404854347,100,100,100,100,100,1773.0566766174586,1791.7871988637394,100.0,18.73052224628077
101,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 50}",1771.215721728284,1765.1586240372942,1765.7433384891353,1769.5028373913658,1766.8348740598856,1804.496070240632,1789.9176830359747,1799.0922565304309,1773.5001339872997,1797.993647974165,50,50,50,50,50,1767.691079141193,1792.9999583537003,50.0,25.308879212507236
102,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 50}",1773.355182010973,1773.117490027489,1772.046538184633,1782.0853211129404,1771.9439429837435,1799.6221138056994,1791.6977898730095,1801.4326228960726,1771.1639785381817,1802.2610077887787,50,50,50,50,50,1774.509694863956,1793.2355025803486,50.0,18.725807716392637
103,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 200}",1774.7733931219186,1781.1131057839975,1779.1792426290442,1781.0249420475623,1772.3429212207411,1799.3681194787052,1794.2937404810134,1802.8720014085766,1776.1960393746622,1795.2742215071153,200,200,200,200,200,1777.6867209606528,1793.6008244500147,200.0,15.914103489361878
104,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 200}",1778.6258056644672,1776.0060485655513,1779.9670592534799,1782.799403921397,1776.72586137816,1801.6583182773466,1794.6806039605967,1803.1503641087309,1779.0512737654283,1801.707896646151,200,200,200,200,200,1778.824835756611,1796.0496913516504,200.0,17.224855595039344
105,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 100}",1776.3167988485409,1777.5827927479927,1777.2323424838414,1782.2022225590242,1777.7888515906966,1802.1976875538937,1795.3140106303615,1805.7722515408102,1771.8897372918573,1805.1328006605966,100,100,100,100,100,1778.224601646019,1796.0612975355039,100.0,17.836695889484872
