,parameters,training_rmse_0,training_rmse_1,training_rmse_2,training_rmse_3,training_rmse_4,valid_1_rmse_0,valid_1_rmse_1,valid_1_rmse_2,valid_1_rmse_3,valid_1_rmse_4,best_iterations_0,best_iterations_1,best_iterations_2,best_iterations_3,best_iterations_4,training_rmse_mean,valid_rmse_mean,best_iter_mean,overfit_flag
126,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 100}",1864.3154587072377,1860.7293375853772,1863.3354844012215,1867.2018471058996,1861.3780175224142,1879.2377268220241,1874.8876679098094,1881.5457600228083,1851.8288688120078,1881.532497956723,100,100,100,100,100,1863.3920290644303,1873.8065043046747,100.0,10.414475240244428
127,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 50}",1867.694337191722,1867.9380859359244,1864.2353228186348,1871.928818071243,1861.4973216480817,1883.4680391989455,1882.3664293118156,1883.462755818618,1856.037118760251,1880.218230891583,50,50,50,50,50,1866.658777133121,1877.1105147962426,50.0,10.451737663121548
128,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 100}",1878.8612740463657,1877.3442829517544,1877.2061681801733,1883.0784150697034,1879.2826899478978,1896.7818719223023,1888.1530505170524,1895.1237770193875,1862.921577718358,1897.628427206487,100,100,100,100,100,1879.1545660391791,1888.1217408767175,100.0,8.967174837538323
129,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 50}",1876.380738363604,1875.8945855833636,1875.2201344876291,1886.065956038113,1879.7627012182072,1894.6712683940193,1887.9426966875938,1893.4420361095263,1868.2470866720153,1898.0110991518193,50,50,50,50,50,1878.6648231381835,1888.4628374029949,50.0,9.7980142648114
130,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 50}",1878.454098718378,1876.3801724867026,1877.1609846577837,1886.2356315702878,1879.5103079651678,1897.52790318985,1888.4625440419052,1894.3275662537462,1868.305768631655,1895.8822300750915,50,50,50,50,50,1879.5482390796637,1888.9012024384494,50.0,9.3529633587857
131,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 100}",1878.0381262410801,1878.7884825535605,1878.6136922756668,1882.7358638674184,1881.1227439632826,1895.868921152569,1890.5726008412514,1895.97886386843,1862.6833619198408,1899.906608005634,100,100,100,100,100,1879.8597817802015,1889.0020711575448,100.0,9.142289377343332
132,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 50}",1879.9553605922565,1876.41886748741,1877.9339128796792,1884.1940018877733,1878.40312594633,1899.0269128021807,1899.4291209519577,1911.2910874271206,1871.7269735416962,1903.108780639693,50,50,50,50,50,1879.3810537586899,1896.9165750725297,50.0,17.53552131383981
133,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 50}",1889.1798593522744,1888.6548846060812,1888.334477054922,1893.0878757764372,1889.0823492404218,1908.3330151292357,1910.558043209632,1921.273096837704,1878.9976364190247,1913.1735369220673,50,50,50,50,50,1889.6678892060274,1906.4670657035326,50.0,16.799176497505186
134,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 50}",1922.4456430612113,1919.6629671606918,1919.2645986648351,1920.0674476006316,1917.094590327412,1934.8530280151654,1929.706353452864,1932.354315125535,1898.3241494564631,1932.6365892245938,50,50,50,50,50,1919.7070493629562,1925.5748870549244,50.0,5.867837691968134
135,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 100}",1916.7641232260855,1917.350729407551,1916.7719465226064,1922.0323181181848,1922.2041139211526,1930.0451204647643,1928.8605807164693,1931.2458669226169,1901.6155850996934,1936.632458695313,100,100,100,100,100,1919.0246462391162,1925.6799223797711,100.0,6.655276140654905
136,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 50}",1985.9927838503995,1986.4684594815026,1982.9372197105868,1992.016760910167,1985.8813295407672,1996.5031143904218,2002.804183654276,2007.4854463783406,1971.5817594116154,2005.193578973658,50,50,50,50,50,1986.6593106986845,1996.7136165616623,50.0,10.054305862977799
137,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 50}",1987.6301917335425,1987.8364900549968,1987.4866706783625,1994.5993984891675,1986.6332887867043,1998.0144471756712,2002.87840059094,2010.853496446953,1971.7840437574084,2005.8989478154665,50,50,50,50,50,1988.8372079485548,1997.8858671572877,50.0,9.048659208732943
138,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 50}",2042.8404141805906,2034.9692756827565,2031.8339135368158,2042.1954391049803,2037.4977014231454,2046.8403623693669,2051.163338495505,2053.6664204732033,2019.6346900211765,2055.125785096037,50,50,50,50,50,2037.8673487856577,2045.2861192910575,50.0,7.418770505399834
139,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 50}",2043.518745549264,2036.9592690188836,2035.4083456654105,2042.0209552292113,2037.4904502782088,2047.465509823166,2052.458333527496,2057.6668888329186,2019.2667414274263,2055.1161726279206,50,50,50,50,50,2039.0795531481956,2046.3947292477853,50.0,7.315176099589735
140,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 50}",2052.0289134486147,2046.477815109432,2046.40418503708,2055.6785841636224,2047.8172517945857,2056.0990365094826,2060.936740575133,2065.08102177848,2031.7777057747444,2064.0761128196477,50,50,50,50,50,2049.681349910667,2055.5941234914976,50.0,5.912773580830617
141,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 50}",2140.9842403091643,2138.6298596295555,2136.998634326259,2143.2424230654487,2139.643581519287,2145.81521128024,2151.7157375462198,2154.4205905464764,2115.989142522634,2154.6427905117016,50,50,50,50,50,2139.899747769943,2144.5166944814546,50.0,4.616946711511446
142,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 50}",2138.9045839903592,2139.51099350421,2136.4935228415848,2144.133717547181,2139.643581519287,2144.045369586823,2152.339957560727,2154.867663114622,2117.0662718252647,2154.6427905117016,50,50,50,50,50,2139.7372798805245,2144.5924105198274,50.0,4.855130639302843
143,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 50}",2159.3119892146956,2159.5280574219355,2155.384400148257,2163.923340332661,2159.795289345452,2160.906430012513,2173.5485796235735,2171.7647261973075,2137.0666472969065,2173.6439320720524,50,50,50,50,50,2159.5886152926005,2163.3860630404706,50.0,3.7974477478701374
